,0,1,階,賃料/管理費,敷金/礼金,間取り/専有面積,6,お気に入り,8,NewArrival,マンション名,住所,最寄り駅,築年数,建物高さ
635,"
 
","




","
											2階","

9.35万円
10000円

","

9.35万円
18.7万円

","

1K
20.43m2

","


","



追加

追加

","
詳細を見る",Exsiting,グランド・ガーラ白金高輪,東京都港区高輪１,都営三田線/白金高輪駅 歩4分 --- 東京メトロ南北線/白金台駅 歩8分 --- 都営浅草線/泉岳寺駅 歩12分,築6年,12階建
636,"
 
","




","
											2階","

9.35万円
10000円

","

9.35万円
18.7万円

","

1K
20.43m2

","


","



追加

追加

","
詳細を見る",New,グランド・ガーラ白金高輪,東京都港区高輪１,都営三田線/白金高輪駅 歩4分 --- 東京メトロ南北線/白金台駅 歩8分 --- 都営浅草線/泉岳寺駅 歩12分,築6年,12階建
637,"
 
","




","
											8階","

9.7万円
10000円

","

9.7万円
19.4万円

","

1K
20.43m2

","

動画

","



追加

追加

","
詳細を見る",New,グランド・ガーラ白金高輪,東京都港区高輪１,都営三田線/白金高輪駅 歩4分 --- 東京メトロ南北線/白金台駅 歩8分 --- 都営浅草線/泉岳寺駅 歩12分,築6年,12階建
638,"
 
","




","
											8階","

9.9万円
10000円

","

9.9万円
19.8万円

","

1K
20.43m2

","

動画

","



追加

追加

","
詳細を見る",Exsiting,グランド・ガーラ白金高輪,東京都港区高輪１,都営三田線/白金高輪駅 歩4分 --- 東京メトロ南北線/白金台駅 歩8分 --- 都営浅草線/泉岳寺駅 歩12分,築6年,12階建
639,"
 
","




","
											8階","

9.9万円
10000円

","

9.9万円
19.8万円

","

1K
20.43m2

","


","



追加

追加

","
詳細を見る",Exsiting,グランド・ガーラ白金高輪,東京都港区高輪１,都営三田線/白金高輪駅 歩4分 --- 東京メトロ南北線/白金台駅 歩8分 --- 都営浅草線/泉岳寺駅 歩12分,築6年,12階建
640,"
 
","




","
											4階","

9.6万円
10000円

","

-
9.6万円

","

1K
20.77m2

","


","



追加

追加

","
詳細を見る",New,芝浦ベイヒルズ,東京都港区芝浦１,ＪＲ山手線/田町駅 歩8分 --- 都営浅草線/三田駅 歩8分 --- ＪＲ山手線/浜松町駅 歩14分,築6年,10階建
641,"
 
","




","
											7階","

9.2万円
-

","

9.2万円
9.2万円

","

1K
21.74m2

","


","



追加

追加

","
詳細を見る",New,トーシンフェニックス芝浦ベイフォート,東京都港区芝浦１,ＪＲ山手線/田町駅 歩8分 --- 都営三田線/三田駅 歩7分 --- 新交通ゆりかもめ/日の出駅 歩8分,築14年,11階建
642,"
 
","




","
											9階","

9.68万円
10200円

","

9.68万円
-

","

1K
21.26m2

","

パノラマ

","



追加

追加

","
詳細を見る",New,エステムプラザ芝公園,東京都港区芝１,ＪＲ山手線/浜松町駅 歩8分 --- 都営三田線/芝公園駅 歩8分 --- 都営大江戸線/大門駅 歩9分,築6年,15階建
643,"
 
","




","
											9階","

9.78万円
10200円

","

9.78万円
9.78万円

","

1K
21.26m2

","

動画
パノラマ

","



追加

追加

","
詳細を見る",Exsiting,エステムプラザ芝公園,東京都港区芝１,ＪＲ山手線/浜松町駅 歩8分 --- 都営三田線/芝公園駅 歩8分 --- 都営大江戸線/大門駅 歩9分,築6年,15階建
644,"
 
","




","
											9階","

10.18万円
10200円

","

10.18万円
10.18万円

","

1K
21.26m2

","


","



追加

追加

","
詳細を見る",Exsiting,エステムプラザ芝公園,東京都港区芝１,ＪＲ山手線/浜松町駅 歩8分 --- 都営三田線/芝公園駅 歩8分 --- 都営大江戸線/大門駅 歩9分,築6年,15階建
645,"
 
","




","
											2階","

10.5万円
8000円

","

-
10.5万円

","

1DK
25.71m2

","


","



追加

追加

","
詳細を見る",Exsiting,エステムプラザ芝公園,東京都港区芝１,ＪＲ山手線/浜松町駅 歩8分 --- 都営三田線/芝公園駅 歩8分 --- 都営大江戸線/大門駅 歩9分,築6年,15階建
646,"
 
","




","
											5階","

10.27万円
12340円

","

10.27万円
-

","

1DK
25.71m2

","


","



追加

追加

","
詳細を見る",Exsiting,エステムプラザ芝公園,東京都港区芝１,ＪＲ山手線/浜松町駅 歩8分 --- 都営三田線/芝公園駅 歩8分 --- 都営大江戸線/大門駅 歩9分,築6年,15階建
647,"
 
","




","
											8階","

10.5万円
10200円

","

-
10.5万円

","

1K
21.26m2

","

動画
パノラマ

","



追加

追加

","
詳細を見る",New,エステムプラザ芝公園,東京都港区芝１,ＪＲ山手線/浜松町駅 歩8分 --- 都営三田線/芝公園駅 歩8分 --- 都営大江戸線/大門駅 歩9分,築6年,15階建
648,"
 
","




","
											8階","

10.57万円
12340円

","

10.57万円
10.57万円

","

1DK
25.71m2

","


","



追加

追加

","
詳細を見る",New,エステムプラザ芝公園,東京都港区芝１,ＪＲ山手線/浜松町駅 歩8分 --- 都営三田線/芝公園駅 歩8分 --- 都営大江戸線/大門駅 歩9分,築6年,15階建
649,"
 
","




","
											6階","

10.8万円
12000円

","

-
-

","

1DK
25.71m2

","


","



追加

追加

","
詳細を見る",New,エステムプラザ芝公園,東京都港区芝１,ＪＲ山手線/浜松町駅 歩8分 --- 都営三田線/芝公園駅 歩8分 --- 都営大江戸線/大門駅 歩9分,築6年,15階建
650,"
 
","




","
											6階","

10.8万円
12000円

","

-
-

","

1DK
25.71m2

","


","



追加

追加

","
詳細を見る",New,エステムプラザ芝公園,東京都港区芝１,ＪＲ山手線/浜松町駅 歩8分 --- 都営三田線/芝公園駅 歩8分 --- 都営大江戸線/大門駅 歩9分,築6年,15階建
651,"
 
","




","
											6階","

10.8万円
12000円

","

-
-

","

1DK
25.71m2

","


","



追加

追加

","
詳細を見る",Exsiting,エステムプラザ芝公園,東京都港区芝１,ＪＲ山手線/浜松町駅 歩8分 --- 都営三田線/芝公園駅 歩8分 --- 都営大江戸線/大門駅 歩9分,築6年,15階建
652,"
 
","




","
											5階","

11.3万円
5000円

","

11.3万円
11.3万円

","

ワンルーム
25.64m2

","

パノラマ

","



追加

追加

","
詳細を見る",New,サンテ・トゥルム芝公園,東京都港区芝３,都営三田線/芝公園駅 歩4分 --- 東京メトロ南北線/麻布十番駅 歩15分 --- 都営大江戸線/赤羽橋駅 歩5分,築7年,9階建
653,"
 
","




","
											6階","

8.7万円
12000円

","

8.7万円
-

","

1K
20.53m2

","


","



追加

追加

","
詳細を見る",Exsiting,コンシェリア新橋,東京都港区新橋４,ＪＲ山手線/新橋駅 歩2分 --- 都営大江戸線/汐留駅 歩5分 --- 東京メトロ銀座線/銀座駅 歩13分,築15年,地下1地上15階建
654,"
 
","




","
											5階","

8.7万円
12000円

","

8.7万円
-

","

1K
20.49m2

","

動画
パノラマ

","



追加

追加

","
詳細を見る",Exsiting,コンシェリア新橋,東京都港区新橋４,ＪＲ山手線/新橋駅 歩2分 --- 都営大江戸線/汐留駅 歩5分 --- 東京メトロ銀座線/銀座駅 歩13分,築15年,地下1地上15階建
655,"
 
","




","
											9階","

8.7万円
12000円

","

8.7万円
-

","

1K
20.22m2

","

動画
パノラマ

","



追加

追加

","
詳細を見る",Exsiting,コンシェリア新橋,東京都港区新橋４,ＪＲ山手線/新橋駅 歩2分 --- 都営大江戸線/汐留駅 歩5分 --- 東京メトロ銀座線/銀座駅 歩13分,築15年,地下1地上15階建
656,"
 
","




","
											5階","

8.8万円
12000円

","

8.8万円
-

","

1K
20.49m2

","

動画
パノラマ

","



追加

追加

","
詳細を見る",Exsiting,コンシェリア新橋,東京都港区新橋４,ＪＲ山手線/新橋駅 歩2分 --- 都営大江戸線/汐留駅 歩5分 --- 東京メトロ銀座線/銀座駅 歩13分,築15年,地下1地上15階建
657,"
 
","




","
											7階","

9万円
12000円

","

9万円
-

","

1K
20.49m2

","

動画

","



追加

追加

","
詳細を見る",New,コンシェリア新橋,東京都港区新橋４,ＪＲ山手線/新橋駅 歩2分 --- 都営大江戸線/汐留駅 歩5分 --- 東京メトロ銀座線/銀座駅 歩13分,築15年,地下1地上15階建
658,"
 
","




","
											7階","

9万円
12000円

","

9万円
-

","

1K
20.22m2

","

動画
パノラマ

","



追加

追加

","
詳細を見る",Exsiting,コンシェリア新橋,東京都港区新橋４,ＪＲ山手線/新橋駅 歩2分 --- 都営大江戸線/汐留駅 歩5分 --- 東京メトロ銀座線/銀座駅 歩13分,築15年,地下1地上15階建
659,"
 
","




","
											10階","

9.4万円
12000円

","

9.4万円
-

","

1K
20.19m2

","

動画
パノラマ

","



追加

追加

","
詳細を見る",Exsiting,コンシェリア新橋,東京都港区新橋４,ＪＲ山手線/新橋駅 歩2分 --- 都営大江戸線/汐留駅 歩5分 --- 東京メトロ銀座線/銀座駅 歩13分,築15年,地下1地上15階建
660,"
 
","




","
											13階","

9.7万円
12000円

","

9.7万円
-

","

1K
20.19m2

","

動画
パノラマ

","



追加

追加

","
詳細を見る",Exsiting,コンシェリア新橋,東京都港区新橋４,ＪＲ山手線/新橋駅 歩2分 --- 都営大江戸線/汐留駅 歩5分 --- 東京メトロ銀座線/銀座駅 歩13分,築15年,地下1地上15階建
661,"
 
","




","
											6階","

8.7万円
12000円

","

8.7万円
-

","

1K
20.53m2

","

動画

","



追加

追加

","
詳細を見る",Exsiting,ＪＲ山手線 新橋駅 15階建 築15年,東京都港区新橋４,ＪＲ山手線/新橋駅 歩2分 --- 東京メトロ銀座線/新橋駅 歩3分 --- 都営大江戸線/汐留駅 歩7分,築15年,15階建
662,"
 
","




","
											10階","

9.2万円
12000円

","

9.2万円
-

","

1K
20.53m2

","


","



追加

追加

","
詳細を見る",New,ＪＲ山手線 新橋駅 15階建 築15年,東京都港区新橋４,ＪＲ山手線/新橋駅 歩2分 --- 東京メトロ銀座線/新橋駅 歩3分 --- 都営大江戸線/汐留駅 歩7分,築15年,15階建
663,"
 
","




","
											7階","

9.7万円
10000円

","

-
9.7万円

","

1K
21.89m2

","

動画

","



追加

追加

","
詳細を見る",Exsiting,都営大江戸線 大門駅 12階建 築9年,東京都港区芝大門１,都営大江戸線/大門駅 歩3分 --- 東京モノレール/浜松町駅 歩7分 --- ,築9年,12階建
664,"
 
","




","
											5階","

10.35万円
10000円

","

-
15.53万円

","

1K
25.65m2

","

動画

","



追加

追加

","
詳細を見る",New,都営大江戸線 大門駅 12階建 築9年,東京都港区芝大門１,都営大江戸線/大門駅 歩3分 --- 東京モノレール/浜松町駅 歩7分 --- ,築9年,12階建
665,"
 
","




","
											7階","

9.7万円
10000円

","

-
9.7万円

","

1K
21.89m2

","

動画

","



追加

追加

","
詳細を見る",New,ジェノヴィア浜松町グリーンヴェール,東京都港区芝大門１,ＪＲ山手線/浜松町駅 歩6分 --- 都営浅草線/大門駅 歩1分 --- 都営三田線/芝公園駅 歩8分,築9年,12階建
666,"
 
","




","
											5階","

10.35万円
10000円

","

-
15.53万円

","

1K
25.65m2

","

動画

","



追加

追加

","
詳細を見る",Exsiting,ジェノヴィア浜松町グリーンヴェール,東京都港区芝大門１,ＪＲ山手線/浜松町駅 歩6分 --- 都営浅草線/大門駅 歩1分 --- 都営三田線/芝公園駅 歩8分,築9年,12階建
667,"
 
","




","
											2階","

10.2万円
8000円

","

-
10.2万円

","

1K
25.48m2

","

動画
パノラマ

","



追加

追加

","
詳細を見る",New,ルーブル浜松町,東京都港区芝浦１,ＪＲ山手線/浜松町駅 歩10分 --- 都営三田線/三田駅 歩8分 --- ＪＲ山手線/田町駅 歩10分,築7年,11階建
668,"
 
","




","
											4階","

10.2万円
8000円

","

-
10.2万円

","

1K
25.48m2

","

動画

","



追加

追加

","
詳細を見る",New,ルーブル浜松町,東京都港区芝浦１,ＪＲ山手線/浜松町駅 歩10分 --- 都営三田線/三田駅 歩8分 --- ＪＲ山手線/田町駅 歩10分,築7年,11階建
669,"
 
","




","
											4階","

10.7万円
8000円

","

-
10.7万円

","

1K
25.48m2

","

動画

","



追加

追加

","
詳細を見る",New,ルーブル浜松町,東京都港区芝浦１,ＪＲ山手線/浜松町駅 歩10分 --- 都営三田線/三田駅 歩8分 --- ＪＲ山手線/田町駅 歩10分,築7年,11階建
670,"
 
","




","
											3階","

10.3万円
10000円

","

10.3万円
10.3万円

","

1K
20.2m2

","

動画

","



追加

追加

","
詳細を見る",Exsiting,アーバネックス三田,東京都港区芝１,ＪＲ山手線/田町駅 歩10分 --- ＪＲ山手線/浜松町駅 歩11分 --- 都営三田線/三田駅 歩6分,築6年,14階建
671,"
 
","




","
											9階","

10.8万円
10000円

","

10.8万円
-

","

1K
22.4m2

","

動画

","



追加

追加

","
詳細を見る",Exsiting,アーバネックス三田,東京都港区芝１,ＪＲ山手線/田町駅 歩10分 --- ＪＲ山手線/浜松町駅 歩11分 --- 都営三田線/三田駅 歩6分,築6年,14階建
672,"
 
","




","
											2階","

9.5万円
10000円

","

9.5万円
9.5万円

","

1K
22.37m2

","

動画

","



追加

追加

","
詳細を見る",Exsiting,ＪＲ山手線 浜松町駅 地下1地上14階建 築15年,東京都港区浜松町２,ＪＲ山手線/浜松町駅 歩1分 --- 都営大江戸線/大門駅 歩4分 --- 都営三田線/芝公園駅 歩7分,築15年,地下1地上14階建
673,"
 
","




","
											4階","

9.9万円
15000円

","

-
9.9万円

","

1K
22.37m2

","


","



追加

追加

","
詳細を見る",Exsiting,ＪＲ山手線 浜松町駅 地下1地上14階建 築15年,東京都港区浜松町２,ＪＲ山手線/浜松町駅 歩1分 --- 都営大江戸線/大門駅 歩4分 --- 都営三田線/芝公園駅 歩7分,築15年,地下1地上14階建
674,"
 
","




","
											7階","

10.5万円
10000円

","

10.5万円
10.5万円

","

1K
21.86m2

","


","



追加

追加

","
詳細を見る",Exsiting,ＪＲ山手線 浜松町駅 地下1地上14階建 築15年,東京都港区浜松町２,ＪＲ山手線/浜松町駅 歩1分 --- 都営大江戸線/大門駅 歩4分 --- 都営三田線/芝公園駅 歩7分,築15年,地下1地上14階建
675,"
 
","




","
											9階","

10.6万円
10000円

","

-
10.6万円

","

1K
23.2m2

","


","



追加

追加

","
詳細を見る",Exsiting,ＪＲ山手線 浜松町駅 地下1地上14階建 築15年,東京都港区浜松町２,ＪＲ山手線/浜松町駅 歩1分 --- 都営大江戸線/大門駅 歩4分 --- 都営三田線/芝公園駅 歩7分,築15年,地下1地上14階建
676,"
 
","




","
											4階","

10.8万円
6000円

","

21.6万円
10.8万円

","

ワンルーム
25.54m2

","


","



追加

追加

","
詳細を見る",New,alefia（アレフィア）,東京都港区港南２,ＪＲ山手線/品川駅 歩10分 --- 京急本線/北品川駅 歩10分 --- りんかい線/天王洲アイル駅 歩12分,築7年,13階建
677,"
 
","




","
											10階","

11万円
7000円

","

22万円
11万円

","

ワンルーム
27.94m2

","


","



追加

追加

","
詳細を見る",New,alefia（アレフィア）,東京都港区港南２,ＪＲ山手線/品川駅 歩10分 --- 京急本線/北品川駅 歩10分 --- りんかい線/天王洲アイル駅 歩12分,築7年,13階建
678,"
 
","




","
											3階","

9.2万円
8000円

","

9.2万円
9.2万円

","

1K
25.37m2

","


","



追加

追加

","
詳細を見る",Exsiting,ヴィーダスカイコート品川,東京都港区港南３,ＪＲ山手線/品川駅 歩12分 --- 都営浅草線/泉岳寺駅 歩12分 --- ＪＲ京浜東北線/高輪ゲートウェイ駅 歩24分,築14年,12階建
679,"
 
","




","
											2階","

9.7万円
5000円

","

-
-

","

1K
25.37m2

","


","



追加

追加

","
詳細を見る",Exsiting,ヴィーダスカイコート品川,東京都港区港南３,ＪＲ山手線/品川駅 歩12分 --- 都営浅草線/泉岳寺駅 歩12分 --- ＪＲ京浜東北線/高輪ゲートウェイ駅 歩24分,築14年,12階建
680,"
 
","




","
											6階","

9.4万円
8000円

","

9.4万円
9.4万円

","

1K
25.37m2

","


","



追加

追加

","
詳細を見る",Exsiting,ヴィーダスカイコート品川,東京都港区港南３,ＪＲ山手線/品川駅 歩12分 --- 都営浅草線/泉岳寺駅 歩12分 --- ＪＲ京浜東北線/高輪ゲートウェイ駅 歩24分,築14年,12階建
681,"
 
","




","
											3-階","

9.66万円
6400円

","

9.66万円
9.66万円

","

1K
25.37m2

","


","



追加

追加

","
詳細を見る",Exsiting,ヴィーダスカイコート品川,東京都港区港南３,ＪＲ山手線/品川駅 歩12分 --- 都営浅草線/泉岳寺駅 歩12分 --- ＪＲ京浜東北線/高輪ゲートウェイ駅 歩24分,築14年,12階建
682,"
 
","




","
											6階","

9.5万円
9000円

","

9.5万円
-

","

1K
25.37m2

","


","



追加

追加

","
詳細を見る",Exsiting,ヴィーダスカイコート品川,東京都港区港南３,ＪＲ山手線/品川駅 歩12分 --- 都営浅草線/泉岳寺駅 歩12分 --- ＪＲ京浜東北線/高輪ゲートウェイ駅 歩24分,築14年,12階建
683,"
 
","




","
											8階","

9.7万円
8000円

","

9.7万円
9.7万円

","

1K
25.37m2

","


","



追加

追加

","
詳細を見る",Exsiting,ヴィーダスカイコート品川,東京都港区港南３,ＪＲ山手線/品川駅 歩12分 --- 都営浅草線/泉岳寺駅 歩12分 --- ＪＲ京浜東北線/高輪ゲートウェイ駅 歩24分,築14年,12階建
684,"
 
","




","
											7階","

9.8万円
8000円

","

9.8万円
9.8万円

","

1K
25.37m2

","


","



追加

追加

","
詳細を見る",New,ヴィーダスカイコート品川,東京都港区港南３,ＪＲ山手線/品川駅 歩12分 --- 都営浅草線/泉岳寺駅 歩12分 --- ＪＲ京浜東北線/高輪ゲートウェイ駅 歩24分,築14年,12階建
685,"
 
","




","
											3階","

10.9万円
10500円

","

-
10.9万円

","

1K
25.37m2

","

パノラマ

","



追加

追加

","
詳細を見る",Exsiting,ヴィーダスカイコート品川,東京都港区港南３,ＪＲ山手線/品川駅 歩12分 --- 都営浅草線/泉岳寺駅 歩12分 --- ＪＲ京浜東北線/高輪ゲートウェイ駅 歩24分,築14年,12階建
686,"
 
","




","
											6階","

11.2万円
8000円

","

11.2万円
-

","

ワンルーム
25.02m2

","


","



追加

追加

","
詳細を見る",New,ＪＲ山手線 田町駅 地下3地上30階建 築11年,東京都港区芝浦４,ＪＲ山手線/田町駅 歩13分 --- ＪＲ京浜東北線/田町駅 歩13分 --- 京急本線/泉岳寺駅 歩14分,築11年,地下3地上30階建
687,"
 
","




","
											3階","

9.66万円
6400円

","

9.66万円
9.66万円

","

1K
25.37m2

","


","



追加

追加

","
詳細を見る",Exsiting,東京モノレール 天王洲アイル駅 地下1地上12階建 築14年,東京都港区港南３,東京モノレール/天王洲アイル駅 歩15分 --- ＪＲ東海道本線/品川駅 歩12分 --- ＪＲ山手線/高輪ゲートウェイ駅 歩29分,築14年,地下1地上12階建
688,"
 
","




","
											6階","

9.5万円
9000円

","

9.5万円
-

","

1K
25.37m2

","

動画

","



追加

追加

","
詳細を見る",Exsiting,東京モノレール 天王洲アイル駅 地下1地上12階建 築14年,東京都港区港南３,東京モノレール/天王洲アイル駅 歩15分 --- ＪＲ東海道本線/品川駅 歩12分 --- ＪＲ山手線/高輪ゲートウェイ駅 歩29分,築14年,地下1地上12階建
689,"
 
","




","
											6階","

9.5万円
9000円

","

9.5万円
-

","

1K
25.37m2

","

パノラマ

","



追加

追加

","
詳細を見る",New,東京モノレール 天王洲アイル駅 地下1地上12階建 築14年,東京都港区港南３,東京モノレール/天王洲アイル駅 歩15分 --- ＪＲ東海道本線/品川駅 歩12分 --- ＪＲ山手線/高輪ゲートウェイ駅 歩29分,築14年,地下1地上12階建
690,"
 
","




","
											7階","

9.8万円
8000円

","

9.8万円
9.8万円

","

1K
25.37m2

","

動画

","



追加

追加

","
詳細を見る",New,東京モノレール 天王洲アイル駅 地下1地上12階建 築14年,東京都港区港南３,東京モノレール/天王洲アイル駅 歩15分 --- ＪＲ東海道本線/品川駅 歩12分 --- ＪＲ山手線/高輪ゲートウェイ駅 歩29分,築14年,地下1地上12階建
691,"
 
","




","
											3階","

10.9万円
10500円

","

-
10.9万円

","

1K
25.37m2

","


","



追加

追加

","
詳細を見る",Exsiting,東京モノレール 天王洲アイル駅 地下1地上12階建 築14年,東京都港区港南３,東京モノレール/天王洲アイル駅 歩15分 --- ＪＲ東海道本線/品川駅 歩12分 --- ＪＲ山手線/高輪ゲートウェイ駅 歩29分,築14年,地下1地上12階建
692,"
 
","




","
											2階","

8.8万円
3000円

","

8.8万円
8.8万円

","

1K
22.35m2

","

動画
パノラマ

","



追加

追加

","
詳細を見る",Exsiting,東京メトロ南北線 白金台駅 2階建 築13年,東京都港区白金台２,東京メトロ南北線/白金台駅 歩7分 --- 都営三田線/白金台駅 歩7分 --- 都営浅草線/高輪台駅 歩6分,築13年,2階建
693,"
 
","




","
											2階","

11.2万円
3000円

","

11.2万円
11.2万円

","

1K
24.84m2

","

パノラマ

","



追加

追加

","
詳細を見る",Exsiting,コンソナンス東麻布,東京都港区東麻布２,都営大江戸線/赤羽橋駅 歩4分 --- 東京メトロ南北線/麻布十番駅 歩5分 --- 都営三田線/芝公園駅 歩15分,築8年,3階建
694,"
 
","




","
											4階","

10.8万円
3000円

","

10.8万円
-

","

1K
27.74m2

","

パノラマ

","



追加

追加

","
詳細を見る",Exsiting,メゾン・ド・芝,東京都港区芝５,都営浅草線/三田駅 歩5分 --- ＪＲ山手線/田町駅 歩7分 --- 都営三田線/芝公園駅 歩10分,築8年,4階建
695,"
 
","




","
											2階","

10.9万円
3000円

","

10.9万円
10.9万円

","

1K
29.39m2

","


","



追加

追加

","
詳細を見る",Exsiting,メゾン・ド・芝,東京都港区芝５,都営浅草線/三田駅 歩5分 --- ＪＲ山手線/田町駅 歩7分 --- 都営三田線/芝公園駅 歩10分,築8年,4階建
696,"
 
","




","
											2階","

11.6万円
4000円

","

11.6万円
17.4万円

","

1K
25.32m2

","

パノラマ

","



追加

追加

","
詳細を見る",Exsiting,グリーンハウス,東京都港区六本木７,東京メトロ日比谷線/六本木駅 歩5分 --- 都営大江戸線/六本木駅 歩5分 --- 東京メトロ千代田線/乃木坂駅 歩7分,築6年,3階建
697,"
 
","




","
											2階","

8.8万円
3000円

","

8.8万円
8.8万円

","

1K
22.35m2

","

パノラマ

","



追加

追加

","
詳細を見る",Exsiting,FLAT　N,東京都港区白金台２,東京メトロ南北線/白金台駅 歩7分 --- 都営三田線/白金台駅 歩7分 --- 都営浅草線/高輪台駅 歩6分,築13年,2階建
698,"
 
","




","
											3階","

10万円
5000円

","

10万円
10万円

","

1K
26m2

","

パノラマ

","



追加

追加

","
詳細を見る",Exsiting,ミタハイツ,東京都港区三田４,京急本線/泉岳寺駅 歩7分 --- 東京メトロ南北線/白金高輪駅 歩7分 --- ＪＲ山手線/高輪ゲートウェイ駅 歩13分,築14年,3階建
699,"
 
","




","
											2階","

9.9万円
4000円

","

9.9万円
9.9万円

","

1K
22.45m2

","

動画
パノラマ

","



追加

追加

","
詳細を見る",Exsiting,シャーメゾン北青山,東京都港区北青山２,東京メトロ銀座線/外苑前駅 歩4分 --- 東京メトロ千代田線/表参道駅 歩12分 --- 東京メトロ銀座線/青山一丁目駅 歩12分,築11年,3階建
700,"
 
","




","
											3階","

11万円
-

","

11万円
11万円

","

1K
23.71m2

","

パノラマ

","



追加

追加

","
詳細を見る",Exsiting,トリニティシロカネ　Trinity Shirokane,東京都港区白金３,東京メトロ南北線/白金高輪駅 歩8分 --- 東京メトロ日比谷線/広尾駅 歩13分 --- 東京メトロ南北線/白金台駅 歩16分,築6年,5階建
701,"
 
","




","
											2階","

10.6万円
10500円

","

-
10.6万円

","

1K
25.83m2

","


","



追加

追加

","
詳細を見る",Exsiting,クレイシア芝浦ウォーターフロント,東京都港区海岸３,新交通ゆりかもめ/芝浦ふ頭駅 歩6分 --- 新交通ゆりかもめ/日の出駅 歩6分 --- ＪＲ山手線/田町駅 歩12分,築7年,9階建
702,"
 
","




","
											2階","

10.7万円
10500円

","

-
10.7万円

","

1K
25.9m2

","


","



追加

追加

","
詳細を見る",Exsiting,クレイシア芝浦ウォーターフロント,東京都港区海岸３,新交通ゆりかもめ/芝浦ふ頭駅 歩6分 --- 新交通ゆりかもめ/日の出駅 歩6分 --- ＪＲ山手線/田町駅 歩12分,築7年,9階建
703,"
 
","




","
											12階","

9.6万円
12000円

","

-
-

","

1K
20.8m2

","

動画

","



追加

追加

","
詳細を見る",New,メインステージ新橋,東京都港区新橋６,ＪＲ山手線/新橋駅 歩8分 --- ＪＲ山手線/浜松町駅 歩12分 --- 都営三田線/御成門駅 歩6分,築8年,14階建
704,"
 
","




","
											12階","

9.9万円
12000円

","

-
-

","

1K
20.8m2

","


","



追加

追加

","
詳細を見る",Exsiting,メインステージ新橋,東京都港区新橋６,ＪＲ山手線/新橋駅 歩8分 --- ＪＲ山手線/浜松町駅 歩12分 --- 都営三田線/御成門駅 歩6分,築8年,14階建
705,"
 
","




","
											12階","

10.1万円
12000円

","

-
-

","

1K
20.8m2

","

動画

","



追加

追加

","
詳細を見る",Exsiting,メインステージ新橋,東京都港区新橋６,ＪＲ山手線/新橋駅 歩8分 --- ＪＲ山手線/浜松町駅 歩12分 --- 都営三田線/御成門駅 歩6分,築8年,14階建
706,"
 
","




","
											14階","

10.5万円
15000円

","

-
10.5万円

","

1K
21.52m2

","

動画

","



追加

追加

","
詳細を見る",Exsiting,メインステージ新橋,東京都港区新橋６,ＪＲ山手線/新橋駅 歩8分 --- ＪＲ山手線/浜松町駅 歩12分 --- 都営三田線/御成門駅 歩6分,築8年,14階建
707,"
 
","




","
											5階","

9.2万円
10000円

","

4.6万円
9.2万円

","

1K
20.74m2

","

パノラマ

","



追加

追加

","
詳細を見る",Exsiting,ハーモニーレジデンス田町♯002,東京都港区芝浦１,都営三田線/三田駅 歩6分 --- ＪＲ山手線/田町駅 歩6分 --- 新交通ゆりかもめ/日の出駅 歩10分,築6年,10階建
708,"
 
","




","
											5階","

9.45万円
10000円

","

4.73万円
9.45万円

","

1K
20.74m2

","


","



追加

追加

","
詳細を見る",Exsiting,ハーモニーレジデンス田町♯002,東京都港区芝浦１,都営三田線/三田駅 歩6分 --- ＪＲ山手線/田町駅 歩6分 --- 新交通ゆりかもめ/日の出駅 歩10分,築6年,10階建
709,"
 
","




","
											4階","

11.3万円
7000円

","

11.3万円
-

","

1K
25.27m2

","


","



追加

追加

","
詳細を見る",Exsiting,コンフォリア三田トロワ（アンテニア　芝公園）,東京都港区芝３,都営浅草線/三田駅 歩7分 --- 都営大江戸線/赤羽橋駅 歩7分 --- 都営三田線/芝公園駅 歩7分,築15年,7階建
710,"
 
","




","
											9階","

10.8万円
10000円

","

10.8万円
-

","

1K
20.7m2

","


","



追加

追加

","
詳細を見る",Exsiting,クレセント虎ノ門新橋,東京都港区新橋５,ＪＲ山手線/新橋駅 歩5分 --- 都営三田線/御成門駅 歩5分 --- 都営大江戸線/汐留駅 歩10分,築2年,15階建
711,"
 
","




","
											10階","

10.9万円
10000円

","

10.9万円
-

","

1K
20.41m2

","


","



追加

追加

","
詳細を見る",Exsiting,クレセント虎ノ門新橋,東京都港区新橋５,ＪＲ山手線/新橋駅 歩5分 --- 都営三田線/御成門駅 歩5分 --- 都営大江戸線/汐留駅 歩10分,築2年,15階建
712,"
 
","




","
											9階","

11万円
10000円

","

11万円
-

","

1K
20.7m2

","


","



追加

追加

","
詳細を見る",Exsiting,クレセント虎ノ門新橋,東京都港区新橋５,ＪＲ山手線/新橋駅 歩5分 --- 都営三田線/御成門駅 歩5分 --- 都営大江戸線/汐留駅 歩10分,築2年,15階建
713,"
 
","




","
											4階","

10.8万円
7000円

","

-
10.8万円

","

1K
25.52m2

","


","



追加

追加

","
詳細を見る",New,ルーブル泉岳寺前,東京都港区高輪２,京急本線/泉岳寺駅 歩5分 --- 東京メトロ南北線/白金高輪駅 歩13分 --- ＪＲ山手線/品川駅 歩12分,築8年,6階建
